tavu,frekvenssi
la,4.06071386610285
ol,3.13327009324013
ta,3.0545064782469
ja,2.87954742174345
nen,2.513759171278
si,2.07863499627765
ti,1.93863551965453
tä,1.85763872767849
ka,1.79197488282152
li,1.70537212594535
taa,1.44714856681838
mi,1.21852035832437
ki,1.19120422956046
tää,1.15122959415347
ri,1.00375549766349
to,0.990759328521285
tu,0.982812748570441
ma,0.97190011053075
ko,0.948893015704453
sa,0.941871170552331
va,0.928667799422029
jo,0.908062712828098
ei,0.821344843736318
se,0.737339785859048
te,0.73683329211037
lä,0.68597671525451
ke,0.678574999790879
lu,0.655514185930632
et,0.625508268395335
vä,0.62239640150005
na,0.586573480002668
kä,0.565607708466496
da,0.557783914878968
hän,0.551732849411811
mä,0.54709766419664
ni,0.540835559667535
ku,0.528449485268054
nä,0.519002609440445
ai,0.518895171372544
lai,0.511589382755254
pi,0.508343218275093
ty,0.486705958814538
ra,0.484511152570268
pa,0.466657247929381
ten,0.456442957331048
me,0.455913441139249
tai,0.438942063484694
tus,0.428651031409289
no,0.402451491136781
ne,0.395088146411688
suo,0.388246643730686
vi,0.383726570731123
dä,0.360796217381899
toi,0.360546807581413
kun,0.347259020826332
saa,0.346031157193174
en,0.336795320427515
le,0.334255177536419
ha,0.329052105390912
mu,0.324179021596817
pe,0.316021402584024
so,0.314536455002673
mut,0.308235979735032
voi,0.304065080456148
kuin,0.297837509591725
sen,0.293716492272939
vuo,0.29211643247598
sä,0.291441107477743
pu,0.288152735185192
he,0.283133842584659
kaan,0.282800017159394
myös,0.28139564812897
vas,0.27691010879409
lo,0.263250125875208
kin,0.262283183264096
ve,0.257498352168634
jä,0.255445517656948
val,0.248696104748433
tel,0.23937201528414
maa,0.230151526813894
tö,0.226253059778618
il,0.223444321717769
muu,0.222166576124514
suus,0.220320943600923
tys,0.219634107381126
al,0.218011025141045
vii,0.213279913079533
uu,0.212090420184912
hy,0.212086583111058
kas,0.205379378014933
tie,0.204320345631334
ker,0.203572116229879
vai,0.200352811266693
kai,0.199838643370308
su,0.199685160416163
kaik,0.198242420647202
sit,0.196358417385076
tar,0.194217330174756
sii,0.192575062565408
yh,0.191926597084146
an,0.190813845666597
de,0.190111661151385
ky,0.19000038600963
yk,0.18744489482312
mo,0.187114906471709
jos,0.186857822523516
kaa,0.18632063218401
sin,0.185376712016019
sel,0.184954633892121
vie,0.184271634746177
kau,0.182855754494192
sil,0.182226474382199
tul,0.181758351372057
po,0.178136153654241
sy,0.175707285904901
niin,0.174076529517113
kuu,0.173312951820243
nyt,0.170078298561642
mis,0.165627292891445
teh,0.165186029398279
mus,0.163562947158198
kes,0.163505391050394
del,0.160570029552375
kui,0.159453441060972
tun,0.159046711232489
nai,0.158628470182444
ro,0.15843277941591
men,0.15726630896441
vain,0.155248008117407
kan,0.151215243497253
huo,0.147032832996809
vaa,0.146411227032523
ar,0.143732949482697
hal,0.142861933717926
puo,0.139159157449184
hen,0.137750951344906
van,0.137601305464615
ses,0.137160041971449
ih,0.136745637995258
mil,0.136722615552136
oi,0.13592066711673
lis,0.135214645527664
jäl,0.133154136868271
min,0.131688374656189
mat,0.130940145254733
pal,0.130165056336302
kir,0.129535776224309
mark,0.128799058044414
rä,0.128027806199837
koh,0.127720840291547
var,0.127609565149792
kos,0.126136128790003
tut,0.123753305926905
lii,0.120779573690351
as,0.117763633641407
mie,0.117387600403752
mies,0.115503597141626
ton,0.113849818310716
tuo,0.11264497712068
ken,0.111566759367813
kol,0.111010383659038
kus,0.108312920739944
las,0.108278387075262
päi,0.108040488496337
käy,0.107718174292634
hä,0.107115753697615
pai,0.106179507677332
ly,0.103700757967895
mah,0.102457546039322
re,0.101970237659913
suu,0.10193570399523
kans,0.101605715643819
eh,0.101271890218554
kak,0.101233519480018
nis,0.0977532934947862
joh,0.0973657490355707
koi,0.0970127382410378
vin,0.0965139186400674
tei,0.0965062444923601
leen,0.0947181680765739
pää,0.0944802694976495
mai,0.0944188763159916
kat,0.0932140351259554
di,0.0923737159520129
vo,0.0921626768900639
ot,0.0916561831413863
seu,0.09125712746061
raa,0.0903554151050096
dol,0.0899064774641362
mäi,0.0898949662425754
hu,0.088590361132345
nos,0.0885443162461016
ho,0.0879111990602546
sent,0.0878881766171329
vaik,0.0874200536069914
vuon,0.0859274318779338
ras,0.0850986239255522
hin,0.0849835117099436
jää,0.0849720004883828
käyt,0.0836175134180554
liit,0.0835330977932758
on,0.0833872889868383
rus,0.0832414801804008
jat,0.082988233306062
läh,0.0825392956651886
jär,0.0823129083078251
hi,0.0815339823155405
täy,0.0813536398444205
ju,0.0812960837366162
rit,0.0805094835966244
nel,0.080221703057603
it,0.0799339225185816
des,0.0791933672648332
noin,0.0783223515000618
us,0.0782187505060141
työ,0.077858065563774
nes,0.0778158577513842
laa,0.0774206391444615
lei,0.0773132010765601
näyt,0.0771789034916835
loin,0.0771443698270009
mas,0.0770177463898315
sim,0.0765112526411539
kään,0.0762311462498397
au,0.0757208154273084
har,0.0749380523611703
kiin,0.0736104248078182
do,0.0731192793545551
mää,0.0723979094700748
joo,0.07224442651593
ran,0.0719719942723231
ris,0.0715882868869613
lin,0.0700342719762458
lää,0.0700189236808313
dis,0.0695162670060072
pääs,0.0692745313532293
kor,0.0687066444228937
